farmid,planted_qty,withered_crops,harvested_qty,crop_yield,net-yield,type
1,7,6,23,3.3,17,0
2,20,13,1,0,-12,0
3,29,10,14,0.5,4,0
4,15,12,6,0.4,-6,1
5,11,1,22,2,21,1
6,8,6,26,3.2,20,0
7,29,19,11,0.4,-8,1
8,21,3,11,0.5,8,1
9,7,7,22,3.1,15,0
10,26,19,18,0.7,-1,1
11,19,18,25,1.3,7,0
12,23,12,15,0.7,3,1
13,11,13,22,2,9,0
14,11,9,23,2.1,14,0
15,24,10,19,0.8,9,0
16,21,1,8,0.4,7,0
17,4,8,14,3.5,6,1
18,8,16,21,2.6,5,0
19,24,2,15,0.6,13,0
20,3,5,9,3,4,0
21,22,4,18,0.8,14,1
22,21,4,9,0.4,5,0
23,2,14,3,1.5,-11,1
24,24,16,20,0.8,4,0
25,12,8,9,0.8,1,1
26,6,2,8,1.3,6,1
27,2,19,26,13,7,0
28,28,16,27,1,11,1
29,21,9,3,0.1,-6,0
30,1,2,20,20,18,0
31,12,17,25,2.1,8,0
32,26,17,4,0.2,-13,1
33,22,16,28,1.3,12,1
34,29,2,6,0.2,4,0
35,12,2,2,0.2,0,0
36,25,5,2,0.1,-3,1
37,17,12,18,1.1,6,0
38,27,14,27,1,13,0
39,27,8,2,0.1,-6,0
40,10,3,28,2.8,25,1
41,28,13,26,0.9,13,1
42,28,4,18,0.6,14,1
43,16,1,27,1.7,26,0
44,15,10,12,0.8,2,0
45,15,8,27,1.8,19,0
46,19,2,16,0.8,14,1
47,12,8,22,1.8,14,0
48,23,2,24,1,22,0
49,20,1,25,1.2,24,0
50,25,11,7,0.3,-4,0
51,3,9,12,4,3,1
52,5,8,20,4,12,1
53,19,14,21,1.1,7,0
54,7,7,7,1,0,1
55,21,4,29,1.4,25,1
56,9,10,17,1.9,7,0
57,7,1,29,4.1,28,0
58,18,14,19,1.1,5,1
59,4,5,22,5.5,17,0
60,25,7,19,0.8,12,1
61,28,4,28,1,24,0
62,14,15,28,2,13,1
63,18,17,21,1.2,4,0
64,26,5,3,0.1,-2,1
65,9,4,21,2.3,17,1
66,26,15,26,1,11,1
67,21,12,20,1,8,0
68,2,4,2,1,-2,1
69,20,12,25,1.2,13,1
70,28,16,20,0.7,4,0
71,15,17,22,1.5,5,0
72,28,7,24,0.9,17,1
73,7,12,11,1.6,-1,1
74,12,18,29,2.4,11,0
75,29,2,8,0.3,6,0
76,8,7,17,2.1,10,0
77,15,1,7,0.5,6,0
78,3,7,1,0.3,-6,0
79,14,12,11,0.8,-1,1
80,17,12,23,1.4,11,0
81,4,0,18,4.5,18,1
82,18,5,11,0.6,6,1
83,8,18,18,2.2,0,1
84,4,15,19,4.8,4,0
85,2,7,21,10.5,14,1
86,6,0,25,4.2,25,1
87,22,15,13,0.6,-2,0
88,10,8,3,0.3,-5,1
89,4,12,7,1.8,-5,1
90,22,10,8,0.4,-2,0
91,29,12,3,0.1,-9,1
92,18,9,14,0.8,5,1
93,26,3,12,0.5,9,1
94,12,5,14,1.2,9,0
95,2,6,19,9.5,13,0
96,10,4,15,1.5,11,0
97,4,10,20,5,10,1
98,14,12,16,1.1,4,1
99,16,18,22,1.4,4,0
100,15,9,24,1.6,15,1
101,8,9,24,3,15,1
102,14,10,18,1.3,8,0
103,23,6,6,0.3,0,0
104,28,17,23,0.8,6,1
105,25,3,17,0.7,14,1
106,8,1,9,1.1,8,1
107,21,13,8,0.4,-5,0
108,16,12,29,1.8,17,0
109,13,11,23,1.8,12,0
110,18,6,7,0.4,1,0
111,15,1,26,1.7,25,1
112,21,12,10,0.5,-2,0
113,24,13,10,0.4,-3,0
114,26,16,19,0.7,3,0
115,25,8,14,0.6,6,0
116,28,16,2,0.1,-14,0
117,28,7,30,1.1,23,1
118,28,1,27,1,26,1
119,13,12,23,1.8,11,0
120,9,2,20,2.2,18,1
121,29,15,28,1,13,0
122,15,5,18,1.2,13,0
123,13,18,19,1.5,1,1
124,1,6,29,29,23,1
125,25,9,8,0.3,-1,0
126,7,8,1,0.1,-7,0
127,9,1,25,2.8,24,0
128,24,14,22,0.9,8,1
129,1,4,3,3,-1,0
130,12,3,24,2,21,0
131,8,19,23,2.9,4,0
132,24,3,10,0.4,7,1
133,11,17,29,2.6,12,0
134,19,3,8,0.4,5,0
135,17,16,15,0.9,-1,1
136,8,11,25,3.1,14,0
137,3,16,15,5,-1,0
138,3,9,15,5,6,1
139,1,0,3,3,3,0
140,27,17,14,0.5,-3,1
141,5,17,28,5.6,11,1
142,10,13,28,2.8,15,0
143,7,14,15,2.1,1,0
144,26,11,8,0.3,-3,0
145,9,3,2,0.2,-1,0
146,28,2,26,0.9,24,1
147,7,19,24,3.4,5,0
148,9,11,16,1.8,5,1
149,8,6,24,3,18,0
150,12,10,14,1.2,4,0
151,2,0,11,5.5,11,0
152,1,5,30,30,25,1
153,16,14,4,0.2,-10,0
154,23,14,20,0.9,6,0
155,23,18,5,0.2,-13,0
156,24,10,22,0.9,12,0
157,5,1,9,1.8,8,1
158,3,13,14,4.7,1,0
159,12,1,4,0.3,3,1
160,8,3,30,3.8,27,1
161,22,16,21,1,5,1
162,27,2,16,0.6,14,1
163,3,12,16,5.3,4,1
164,1,8,25,25,17,1
165,3,6,1,0.3,-5,0
166,5,14,15,3,1,1
167,15,10,27,1.8,17,1
168,14,19,29,2.1,10,1
169,3,1,16,5.3,15,0
170,1,14,29,29,15,0
171,5,13,25,5,12,1
172,26,19,4,0.2,-15,0
173,23,10,14,0.6,4,1
174,14,2,27,1.9,25,1
175,7,16,18,2.6,2,0
176,27,11,28,1,17,1
177,9,14,1,0.1,-13,0
178,15,15,15,1,0,0
179,15,4,8,0.5,4,1
180,26,19,4,0.2,-15,1
181,10,5,11,1.1,6,0
182,28,18,24,0.9,6,1
183,13,4,15,1.2,11,1
184,19,2,12,0.6,10,1
185,7,0,23,3.3,23,0
186,17,5,23,1.4,18,0
187,20,14,14,0.7,0,1
188,29,1,20,0.7,19,0
189,4,2,5,1.2,3,0
190,5,16,5,1,-11,0
191,23,11,6,0.3,-5,0
192,7,17,9,1.3,-8,0
193,13,14,16,1.2,2,1
194,15,11,26,1.7,15,1
195,11,15,24,2.2,9,1
196,29,7,3,0.1,-4,0
197,4,13,20,5,7,0
198,13,16,11,0.8,-5,1
199,7,7,22,3.1,15,0
200,27,14,26,1,12,1
201,19,13,18,0.9,5,1
202,22,17,8,0.4,-9,1
203,28,19,10,0.4,-9,0
204,2,6,24,12,18,0
205,10,2,13,1.3,11,1
206,13,11,26,2,15,1
207,25,2,18,0.7,16,1
208,21,19,14,0.7,-5,1
209,6,13,18,3,5,0
210,28,14,19,0.7,5,0
211,28,13,5,0.2,-8,1
212,12,6,11,0.9,5,1
213,12,16,9,0.8,-7,0
214,20,11,8,0.4,-3,0
215,11,19,14,1.3,-5,1
216,26,3,19,0.7,16,1
217,23,8,16,0.7,8,1
218,28,5,7,0.2,2,0
219,25,15,9,0.4,-6,0
220,7,1,22,3.1,21,0
221,1,7,3,3,-4,1
222,1,10,16,16,6,1
223,25,12,14,0.6,2,0
224,27,16,4,0.1,-12,0
225,25,7,18,0.7,11,1
226,20,17,26,1.3,9,0
227,13,17,29,2.2,12,0
228,9,13,11,1.2,-2,1
229,3,14,2,0.7,-12,0
230,7,5,6,0.9,1,1
231,6,10,7,1.2,-3,1
232,8,12,21,2.6,9,1
233,27,0,27,1,27,1
234,9,5,3,0.3,-2,1
235,5,8,28,5.6,20,1
236,1,7,25,25,18,1
237,19,10,4,0.2,-6,0
238,10,18,14,1.4,-4,1
239,12,8,7,0.6,-1,1
240,24,16,2,0.1,-14,0
241,15,11,17,1.1,6,0
242,27,13,5,0.2,-8,0
243,22,14,22,1,8,1
244,24,15,6,0.2,-9,0
245,9,19,22,2.4,3,1
246,20,0,7,0.4,7,1
247,17,9,7,0.4,-2,1
248,17,7,24,1.4,17,1
249,26,17,10,0.4,-7,0
250,20,0,22,1.1,22,0
251,12,1,12,1,11,1
252,7,0,25,3.6,25,1
253,2,0,24,12,24,1
254,3,8,6,2,-2,0
255,17,12,24,1.4,12,1
256,5,0,4,0.8,4,1
257,17,12,2,0.1,-10,0
258,24,19,12,0.5,-7,0
259,17,6,6,0.4,0,1
260,27,1,25,0.9,24,0
261,17,5,21,1.2,16,0
262,2,6,7,3.5,1,1
263,2,13,10,5,-3,0
264,28,17,21,0.8,4,1
265,22,14,17,0.8,3,0
266,23,1,12,0.5,11,1
267,5,9,5,1,-4,1
268,1,11,16,16,5,1
269,1,16,26,26,10,0
270,19,7,23,1.2,16,1
271,2,10,2,1,-8,0
272,21,2,25,1.2,23,1
273,12,5,7,0.6,2,1
274,26,8,11,0.4,3,0
275,6,5,26,4.3,21,1
276,23,8,3,0.1,-5,1
277,4,6,21,5.2,15,0
278,23,8,12,0.5,4,1
279,11,17,9,0.8,-8,1
280,24,11,27,1.1,16,1
281,27,7,20,0.7,13,1
282,17,7,21,1.2,14,0
283,6,17,11,1.8,-6,0
284,24,19,6,0.2,-13,1
285,5,14,11,2.2,-3,0
286,20,6,27,1.4,21,1
287,2,10,17,8.5,7,0
288,6,19,5,0.8,-14,1
289,22,15,20,0.9,5,1
290,11,3,21,1.9,18,1
291,16,5,2,0.1,-3,1
292,16,2,21,1.3,19,1
293,1,8,18,18,10,1
294,9,9,23,2.6,14,0
295,28,13,16,0.6,3,1
296,27,10,24,0.9,14,0
297,6,17,27,4.5,10,1
298,16,11,22,1.4,11,0
299,29,11,5,0.2,-6,0
300,3,12,24,8,12,0
301,20,12,12,0.6,0,1
302,28,18,5,0.2,-13,1
303,27,18,4,0.1,-14,0
304,4,13,12,3,-1,1
305,19,3,20,1.1,17,0
306,26,12,2,0.1,-10,1
307,3,7,3,1,-4,0
308,19,18,20,1.1,2,0
309,20,11,25,1.2,14,1
310,7,17,17,2.4,0,0
311,20,5,6,0.3,1,1
312,9,17,13,1.4,-4,0
313,1,18,11,11,-7,0
314,8,4,13,1.6,9,1
315,7,8,3,0.4,-5,1
316,18,2,14,0.8,12,1
317,8,9,2,0.2,-7,0
318,1,18,3,3,-15,1
319,11,2,9,0.8,7,0
320,28,14,9,0.3,-5,0
321,25,0,6,0.2,6,1
322,25,6,10,0.4,4,1
323,18,11,1,0.1,-10,0
324,23,16,25,1.1,9,0
325,10,19,12,1.2,-7,1
326,3,4,16,5.3,12,1
327,7,3,25,3.6,22,1
328,28,11,7,0.2,-4,1
329,16,19,24,1.5,5,1
330,26,17,7,0.3,-10,0
331,16,16,3,0.2,-13,0
332,25,18,3,0.1,-15,0
333,20,8,18,0.9,10,0
334,28,3,13,0.5,10,1
335,17,1,19,1.1,18,1
336,2,3,15,7.5,12,1
337,1,1,19,19,18,0
338,16,14,6,0.4,-8,0
339,12,1,12,1,11,1
340,5,3,10,2,7,1
341,5,5,19,3.8,14,0
342,27,6,5,0.2,-1,0
343,23,9,4,0.2,-5,1
344,9,18,4,0.4,-14,1
345,9,18,27,3,9,0
346,3,11,9,3,-2,1
347,19,2,23,1.2,21,1
348,16,12,29,1.8,17,1
349,16,17,10,0.6,-7,0
350,3,7,25,8.3,18,0
351,20,14,23,1.2,9,0
352,24,0,17,0.7,17,0
353,22,2,15,0.7,13,0
354,24,7,12,0.5,5,0
355,1,3,16,16,13,0
356,24,15,4,0.2,-11,1
357,20,9,22,1.1,13,1
358,11,11,6,0.5,-5,1
359,17,13,6,0.4,-7,1
360,8,13,20,2.5,7,1
361,4,1,28,7,27,1
362,6,4,15,2.5,11,1
363,8,4,22,2.8,18,0
364,20,5,16,0.8,11,0
365,3,12,26,8.7,14,1
366,16,8,14,0.9,6,1
367,25,14,25,1,11,0
368,3,13,26,8.7,13,1
369,25,6,19,0.8,13,1
370,29,19,12,0.4,-7,0
371,18,1,9,0.5,8,1
372,14,6,27,1.9,21,0
373,18,5,9,0.5,4,1
374,2,16,9,4.5,-7,0
375,22,1,13,0.6,12,0
376,3,2,26,8.7,24,0
377,16,4,7,0.4,3,1
378,29,4,10,0.3,6,0
379,9,0,24,2.7,24,1
380,4,7,16,4,9,1
381,1,11,2,2,-9,1
382,4,3,26,6.5,23,1
383,1,12,26,26,14,0
384,14,14,21,1.5,7,0
385,21,10,16,0.8,6,1
386,16,9,24,1.5,15,1
387,20,2,7,0.4,5,0
388,24,13,15,0.6,2,1
389,8,15,15,1.9,0,0
390,7,9,9,1.3,0,1
391,3,9,9,3,0,1
392,17,11,9,0.5,-2,0
393,1,8,8,8,0,1
394,16,0,16,1,16,0
395,12,4,7,0.6,3,1
396,27,19,7,0.3,-12,1
397,19,7,4,0.2,-3,1
398,22,10,23,1,13,0
399,23,11,20,0.9,9,1
400,22,0,9,0.4,9,1
401,14,19,11,0.8,-8,1
402,6,10,21,3.5,11,1
403,6,4,3,0.5,-1,0
404,13,14,18,1.4,4,0
405,19,4,30,1.6,26,1
406,22,11,10,0.5,-1,0
407,8,4,21,2.6,17,1
408,27,16,8,0.3,-8,1
409,27,16,28,1,12,1
410,2,11,24,12,13,0
411,21,14,3,0.1,-11,0
412,1,14,12,12,-2,0
413,28,5,28,1,23,0
414,15,11,13,0.9,2,0
415,1,19,2,2,-17,0
416,5,17,3,0.6,-14,0
417,28,13,5,0.2,-8,0
418,29,1,11,0.4,10,0
419,16,8,2,0.1,-6,1
420,19,4,26,1.4,22,0
421,4,19,23,5.8,4,0
422,3,0,23,7.7,23,0
423,17,2,12,0.7,10,0
424,17,5,7,0.4,2,0
425,12,4,15,1.2,11,0
426,28,4,24,0.9,20,0
427,29,0,17,0.6,17,0
428,14,16,4,0.3,-12,0
429,21,18,29,1.4,11,0
430,6,13,22,3.7,9,0
431,3,11,16,5.3,5,1
432,28,9,5,0.2,-4,1
433,9,19,18,2,-1,0
434,5,17,1,0.2,-16,0
435,24,10,21,0.9,11,1
436,29,1,13,0.4,12,0
437,17,17,16,0.9,-1,1
438,14,6,30,2.1,24,1
439,21,14,9,0.4,-5,1
440,3,10,6,2,-4,1
441,28,17,30,1.1,13,1
442,1,11,10,10,-1,0
443,20,5,5,0.2,0,1
444,29,19,27,0.9,8,0
445,21,12,23,1.1,11,0
446,23,19,3,0.1,-16,1
447,1,15,28,28,13,1
448,3,17,18,6,1,0
449,18,9,20,1.1,11,1
450,25,7,5,0.2,-2,1
451,10,17,7,0.7,-10,0
452,22,0,14,0.6,14,0
453,26,7,12,0.5,5,1
454,3,5,29,9.7,24,0
455,8,4,6,0.8,2,1
456,14,14,21,1.5,7,1
457,24,14,12,0.5,-2,1
458,18,1,12,0.7,11,0
459,15,0,25,1.7,25,0
460,22,10,16,0.7,6,0
461,23,9,24,1,15,0
462,2,17,12,6,-5,0
463,27,17,24,0.9,7,1
464,10,16,16,1.6,0,1
465,2,7,27,13.5,20,1
466,26,14,15,0.6,1,1
467,17,7,7,0.4,0,0
468,8,16,13,1.6,-3,1
469,1,11,5,5,-6,0
470,9,7,14,1.6,7,1
471,11,13,17,1.5,4,0
472,22,3,3,0.1,0,0
473,16,0,26,1.6,26,1
474,7,0,2,0.3,2,1
475,29,18,16,0.6,-2,1
476,10,15,9,0.9,-6,1
477,23,13,4,0.2,-9,0
478,26,15,12,0.5,-3,1
479,3,4,13,4.3,9,1
480,18,8,25,1.4,17,0
481,25,1,5,0.2,4,1
482,24,17,17,0.7,0,1
483,13,5,5,0.4,0,1
484,28,8,6,0.2,-2,1
485,26,0,25,1,25,1
486,7,8,9,1.3,1,0
487,25,15,9,0.4,-6,1
488,4,12,11,2.8,-1,1
489,13,8,18,1.4,10,1
490,20,12,29,1.4,17,1
491,1,8,27,27,19,1
492,8,10,12,1.5,2,0
493,14,3,23,1.6,20,1
494,16,1,26,1.6,25,0
495,14,5,5,0.4,0,0
496,12,13,15,1.2,2,1
497,19,3,9,0.5,6,1
498,23,5,10,0.4,5,1
499,15,18,23,1.5,5,1
500,28,5,6,0.2,1,0
